,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-01-31,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-03,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-03,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-03,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-03,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-03,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-03,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-03,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-03,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-03,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-03,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-03,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-03,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-03,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-04,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-04,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-04,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-04,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-04,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-04,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-04,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-04,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-05,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-05,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-05,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-05,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-05,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-05,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-05,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-05,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-05,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-05,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-05,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-06,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-09,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-10,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-11,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-11,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-11,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-11,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-11,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-11,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-12,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-12,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-12,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-12,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-12,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-12,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-12,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-13,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-14,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-14,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-14,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-14,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-14,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-14,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-14,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-14,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-14,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-14,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-14,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-14,,,,,0
,Date,CE_Entry_Price,CE_Exit_Price,PE_Entry_Price,PE_Exit_Price,PnL
0,2026-02-15,,,,,0
